episode,shifted_humans,shifted_avs,machine_ratio,tt_ratio
1010,81 120 277,None,0.20570264765784113,1.0769938431251889
1020,301,None,0.20773930753564154,1.0819060610192854
1030,343,None,0.20977596741344195,1.0852005504682434
1040,351,None,0.21181262729124237,1.1021026951314985
1050,123 340 392,None,0.21792260692464357,1.086647467264211
1060,331,None,0.219959266802444,1.112772299474344
1070,30 196,None,0.2240325865580448,1.1345185657720505
1080,96 139,None,0.22810590631364563,1.0953268369377105
1090,125 166 484,None,0.23421588594704684,1.0722222991774921
1100,84 229,None,0.23828920570264767,1.058028637612625
1110,None,None,0.23828920570264767,1.061935449229932
1120,300,None,0.24032586558044808,1.0719573735853098
1130,71 78 155 329 382,None,0.2505091649694501,1.089299230263525
1140,32 230 410,None,0.25661914460285135,1.0607343036051105
1150,225 241 419 466,None,0.26476578411405294,1.0637166742719977
1160,219 252 423,None,0.2708757637474542,1.068542596389678
1170,77 157 467,None,0.2769857433808554,1.0770699078105443
1180,237,None,0.2790224032586558,1.0433473407885752
1190,217,None,0.28105906313645623,1.0481572844052027
1200,None,None,0.28105906313645623,1.0502664850036358
1210,73 190 207 215 251,None,0.29124236252545826,1.0325989677139584
1220,385 470,None,0.2953156822810591,1.0518774160411253
1230,57 97,None,0.29938900203665986,1.0640871298558496
1240,395,None,0.3014256619144603,1.0503948822730713
1250,364,None,0.3034623217922607,1.0346908494729752
1260,17 33 458,None,0.3095723014256619,1.0355265032315328
1270,162,None,0.31160896130346233,1.081454497286302
1280,205 303 400,None,0.31771894093686354,1.0706514871297752
1290,345 394 473 477,None,0.3258655804480652,1.079789414408896
1300,None,None,0.3258655804480652,1.0730635190516082
1310,134 223 402,None,0.3319755600814664,1.076419258410417
1320,13 290 486,None,0.3380855397148676,1.0900090684020534
1330,170 234,None,0.3421588594704684,1.102506456318291
1340,25 105,None,0.34623217922606925,1.1161386214662787
1350,103 271,None,0.35030549898167007,1.097912848136406
1360,243 483,None,0.3543788187372709,1.0977488998423632
1370,None,None,0.3543788187372709,1.094655410486501
1380,59 226 258,None,0.3604887983706721,1.0884098512312146
1390,149,None,0.3625254582484725,1.0825173024386014
1400,128 374 433,None,0.36863543788187375,1.098597687648636
1410,344 398,None,0.3727087576374745,1.1123941079966182
1420,10 320,None,0.37678207739307534,1.0980377096695801
1430,375,None,0.3788187372708758,1.109085152961446
1440,452,None,0.38085539714867617,1.1121793367130355
1450,113 389,None,0.384928716904277,1.1159707272095123
1460,431,None,0.3869653767820774,1.1094441116445484
1470,220,None,0.3890020366598778,1.1130487717879616
1480,None,None,0.3890020366598778,1.1209252174023645
1490,154,None,0.3910386965376782,1.1139400487543436
1500,69,None,0.39307535641547864,1.1213262793027878
1510,None,None,0.39307535641547864,1.1024710212299837
1520,321 338 412,None,0.39918533604887985,1.1057986176773043
1530,94 186 325,None,0.40529531568228105,1.1135858563419325
1540,295 459,None,0.4093686354378819,1.1031669391887902
1550,None,None,0.4093686354378819,1.108372336062719
1560,None,None,0.4093686354378819,1.123426924933878
1570,None,None,0.4093686354378819,1.1120220889767456
1580,70 174,None,0.4134419551934827,1.1050423149596253
1590,None,None,0.4134419551934827,1.1128708977463377
1600,192 427,None,0.4175152749490835,1.1151307884971138
1610,292,None,0.4195519348268839,1.1227246227422185
1620,0 51 411,None,0.4256619144602851,1.1213248682211445
1630,334 485,None,0.42973523421588594,1.1002740431477462
1640,284,None,0.4317718940936864,1.1053356577538915
1650,None,None,0.4317718940936864,1.1034366587712838
1660,116,None,0.43380855397148677,1.106623464983948
1670,None,None,0.43380855397148677,1.1145604951031345
1680,90 311 328,None,0.439918533604888,1.1050914378847063
1690,None,None,0.439918533604888,1.109469638877622
1700,21 137 232 313,None,0.4480651731160896,1.1216665648341881
1710,38 417,None,0.45213849287169044,1.1177878075475935
1720,176 336 482,None,0.45824847250509165,1.112157796033529
1730,None,None,0.45824847250509165,1.124589288925512
1740,114 218 260,None,0.46435845213849286,1.1011545742425513
1750,145,None,0.4663951120162933,1.1056367632397806
1760,36 388,None,0.47046843177189407,1.102391087690079
1770,387,None,0.4725050916496945,1.1120042999051654
1780,129 315,None,0.47657841140529533,1.1130428561198271
1790,None,None,0.47657841140529533,1.1313642101637498
1800,383,None,0.4786150712830957,1.1285519726859892
1810,428,None,0.48065173116089616,1.1175505581414253
1820,247 362,None,0.4847250509164969,1.1117676733098196
1830,None,None,0.4847250509164969,1.1198925844021395
1840,341 360,None,0.48879837067209775,1.1276820308213653
1850,None,None,0.48879837067209775,1.122132757868207
1860,85 309 413 490,None,0.4969450101832994,1.1291301805164198
1870,276,None,0.4989816700610998,1.1330564763853133
1880,282,None,0.5010183299389002,1.1244331150085174
1890,463,None,0.5030549898167006,1.1467056447308337
1900,368,None,0.505091649694501,1.1432289579081731
1910,278 350,None,0.5091649694501018,1.149034757590545
1920,41 403 456,None,0.515274949083503,1.152926128598127
1930,198 286,None,0.5193482688391039,1.149909248081652
1940,204,None,0.5213849287169042,1.141573125452973
1950,348,None,0.5234215885947047,1.1445944297545392
1960,480 489,None,0.5274949083503055,1.1514597457205444
1970,106,None,0.5295315682281059,1.1487719785280528
1980,92 406,None,0.5336048879837068,1.1538521009640685
1990,19 153,None,0.5376782077393075,1.1393439067685727
