episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
1205,243,248,118.66,
1210,124,142,120.77000000000001,
1215,136,145,121.94,
1220,132,151,118.31,
1225,138,142,119.91000000000001,
1230,128,143,122.42,
1235,144,160,119.87,
1240,128,143,117.38,
1245,133,159,120.93,
1250,148,151,122.52,
1255,143,157,120.93,
1260,124,146,112.94999999999999,
1265,139,146,118.99000000000001,
1270,136,151,129.73999999999998,
1275,131,140,122.72,
1280,120,150,122.28999999999999,
1285,127,145,119.01,
1290,137,149,125.64,
1295,118,146,118.25,
1300,132,135,123.28,
1305,130,139,118.53,
1310,134,140,125.2,
1315,139,154,119.99,
1320,134,159,123.2,
1325,137,155,120.52,
1330,130,156,128.98,
1335,135,147,127.06,
1340,136,154,125.52,
1345,136,132,126.75,
1350,126,152,123.42999999999999,
1355,139,145,115.87,
1360,147,136,120.87,
1365,150,139,125.58999999999999,
1370,139,146,118.62,
1375,139,139,126.45,
1380,139,143,122.44999999999999,
1385,129,142,122.28,
1390,133,151,129.79,
1395,131,151,122.5,
1400,139,143,122.44000000000001,
1405,134,147,124.14,
1410,131,149,117.42,
1415,126,138,125.7,
1420,138,139,124.23,
1425,132,145,124.81,
1430,135,141,121.52999999999999,
1435,145,145,123.25,
1440,137,135,129.01999999999998,
1445,141,130,121.62,
1450,124,140,130.35999999999999,
1455,127,138,120.6,
1460,127,147,121.63,
1465,133,145,124.46,
1470,133,140,123.29,
1475,126,140,122.11999999999999,
1480,122,136,116.69000000000001,
1485,139,138,125.05,
1490,136,146,122.01,
1495,139,143,119.67,
1500,134,146,124.67,
1505,127,144,125.5,
1510,125,142,124.28,
1515,140,141,131.72,
1520,139,134,124.22999999999999,
1525,120,138,122.17,
1530,134,138,124.49000000000001,
1535,145,145,126.65,
1540,142,147,124.03,
1545,129,133,124.67,
1550,132,159,111.41,
1555,127,139,125.02000000000001,
1560,133,147,124.35,
1565,138,128,125.55,
1570,134,159,124.96,
1575,137,149,127.9,
1580,142,129,121.96000000000001,
1585,137,154,130.69,
1590,122,139,124.59,
1595,139,136,128.26,
1600,127,139,129.4,
1605,136,142,126.10000000000001,
1610,119,140,125.89999999999999,
1615,120,138,124.65,
1620,145,129,127.29,
1625,123,132,131.35999999999999,
1630,138,137,126.24,
1635,132,145,127.50999999999999,
1640,137,148,126.01,
1645,136,134,134.01,
1650,121,139,129.11,
1655,129,131,125.96,
1660,131,134,127.69,
1665,135,133,129.92,
1670,133,143,125.65,
1675,143,138,123.69999999999999,
1680,133,136,126.88,
1685,127,138,126.55,
1690,133,133,130.07,
1695,128,132,129.33,
1700,152,148,120.60000000000001,
1705,137,137,132.45,
1710,129,134,128.87,
1715,127,139,132.6,
1720,128,143,129.54999999999998,
1725,130,143,133.0,
1730,138,123,121.73,
1735,134,145,121.52,
1740,136,138,133.27,
1745,124,129,132.41,
1750,135,140,124.22,
1755,137,138,124.39999999999999,
1760,130,138,122.88000000000001,
1765,125,136,126.86,
1770,118,134,128.84,
1775,123,133,122.07000000000001,
1780,131,142,130.47,
1785,136,138,130.33,
1790,126,136,121.58,
1795,138,134,120.11,
1800,126,128,123.57,
1805,136,137,124.28999999999999,
1810,140,134,125.02,
1815,125,138,125.57000000000001,
1820,139,133,128.47,
1825,130,132,127.7,
1830,126,136,122.89,
1835,135,150,131.08,
1840,125,146,128.04,
1845,126,138,130.17,
1850,122,128,130.16,
1855,123,129,126.87,
1860,132,138,130.86,
1865,155,126,132.3,
1870,136,141,126.99,
1875,125,131,129.96,
1880,136,133,119.83,
1885,129,130,133.63,
1890,122,118,132.17000000000002,
1895,130,121,132.51999999999998,
1900,143,135,123.78,
1905,129,149,123.16,
1910,129,141,131.56,
1915,138,128,130.29000000000002,
1920,130,130,137.77,
1925,144,123,139.21,
1930,136,141,134.1,
1935,138,128,129.70000000000002,
1940,135,136,133.01,
1945,124,111,127.89,
1950,131,119,132.78,
1955,143,129,127.95,
1960,144,133,132.19,
1965,134,118,129.94,
1970,132,129,135.57999999999998,
1975,123,120,134.72,
1980,137,140,133.39999999999998,
1985,128,138,130.76,
1990,129,127,121.66,
1995,141,111,133.73,
2000,144,119,127.9,
2005,136,129,137.08,
2010,125,135,132.19,
2015,130,127,132.94,
2020,141,126,128.93,
2025,123,120,129.18,
2030,117,130,131.59,
2035,148,121,136.37,
2040,135,119,130.42,
2045,135,116,128.72,
2050,137,112,135.12,
2055,142,117,135.0,
2060,138,122,136.31,
2065,131,135,132.16,
2070,135,121,141.69,
2075,149,123,134.94,
2080,119,125,132.87,
2085,133,120,137.14,
2090,132,110,136.55,
2095,131,122,131.79000000000002,
2100,134,120,133.96,
2105,126,114,129.1,
2110,131,119,133.88,
2115,119,117,132.48000000000002,
2120,121,105,128.32999999999998,
2125,127,119,136.78,
2130,131,111,130.93,
2135,127,114,134.69,
2140,134,120,132.17,
2145,139,124,132.95,
2150,142,119,132.01,
2155,134,121,136.69,
2160,136,119,136.69,
2165,131,120,137.32,
2170,131,129,133.92,
2175,140,131,133.39000000000001,
2180,130,126,131.06,
2185,129,105,133.05,
2190,128,103,136.96,
2195,129,118,127.22,
2200,130,106,140.45000000000002,
