episode,shifted_humans,shifted_avs,machine_ratio,tt_ratio
1010,94,None,0.20270270270270271,0.9050321065582384
1020,60 133,None,0.21171171171171171,0.9109593876505832
1030,None,None,0.21171171171171171,0.9360561982617188
1040,None,None,0.21171171171171171,0.9347729143566771
1050,142,None,0.21621621621621623,0.9458162721338262
1060,113 131,None,0.22522522522522523,0.9525170930828049
1070,189,None,0.22972972972972974,0.9306913893105688
1080,101 204,None,0.23873873873873874,0.9235730966062347
1090,14 175,None,0.24774774774774774,0.8984197402473928
1100,None,None,0.24774774774774774,0.8626671641575883
1110,135,None,0.25225225225225223,0.8691173639146156
1120,None,None,0.25225225225225223,0.8897396084726661
1130,None,None,0.25225225225225223,0.8877836672789299
1140,207,None,0.25675675675675674,0.8987107990153599
1150,None,None,0.25675675675675674,0.884232722029627
1160,108,None,0.26126126126126126,0.898233413384942
1170,None,None,0.26126126126126126,0.896880995243431
1180,None,None,0.26126126126126126,0.882449881734926
1190,None,128,0.25675675675675674,0.9027441377492508
1200,125,None,0.26126126126126126,0.885086249427344
1210,None,None,0.26126126126126126,0.8851803186009285
1220,33,None,0.26576576576576577,0.8789362919185987
1230,26 117,None,0.2747747747747748,0.8982084071801936
1240,148,None,0.27927927927927926,0.9013455204411042
1250,137 128,None,0.2882882882882883,0.920821156472928
1260,16,None,0.2927927927927928,0.9185727150014342
1270,21 32,None,0.30180180180180183,0.9289109212849833
1280,10 165,None,0.3108108108108108,0.931411384741005
1290,None,None,0.3108108108108108,0.9294658234971852
1300,2 208,None,0.31981981981981983,0.9361512961740315
1310,38,None,0.32432432432432434,0.9445892370391071
1320,107 184,None,0.3333333333333333,0.9499641815891453
1330,None,None,0.3333333333333333,0.9410280941657488
1340,None,None,0.3333333333333333,0.9411248748027025
1350,None,None,0.3333333333333333,0.9433487386783919
1360,None,None,0.3333333333333333,0.9514509113479392
1370,None,None,0.3333333333333333,0.9547637233050178
1380,197 200,None,0.34234234234234234,0.9462023543831126
1390,205,None,0.34684684684684686,0.9443479680730982
1400,35,None,0.35135135135135137,0.959890582887778
1410,89,None,0.35585585585585583,0.9727286087230171
1420,123 195,None,0.36486486486486486,0.9726812296190047
1430,None,None,0.36486486486486486,0.9607153759812936
1440,None,None,0.36486486486486486,0.9696491560097726
1450,111,None,0.36936936936936937,0.9717791876690871
1460,None,None,0.36936936936936937,0.9878462031278399
1470,36 170,None,0.3783783783783784,0.9714923718538824
1480,45,None,0.38288288288288286,0.9779801180316929
1490,5,None,0.38738738738738737,0.9809119275904952
1500,105,None,0.3918918918918919,1.0027027175302814
1510,None,None,0.3918918918918919,0.9828678046140413
1520,116 217,None,0.4009009009009009,0.9723821383270629
1530,99 136,None,0.4099099099099099,0.9654490360227775
1540,43 90,None,0.4189189189189189,0.9554039922504467
1550,114,None,0.42342342342342343,0.9551947211828794
1560,None,None,0.42342342342342343,0.9670542846663256
1570,None,None,0.42342342342342343,0.9507645009927613
1580,None,None,0.42342342342342343,0.9535118407709033
1590,None,None,0.42342342342342343,0.966334776291413
1600,None,None,0.42342342342342343,0.9593071464331729
1610,None,None,0.42342342342342343,0.9633584089762568
1620,22,None,0.42792792792792794,0.9506818483945645
1630,None,None,0.42792792792792794,0.9483631379137109
1640,3,None,0.43243243243243246,0.9499496901525138
1650,182,None,0.4369369369369369,0.9660376024093918
1660,25,None,0.44144144144144143,0.9809667082992548
1670,None,None,0.44144144144144143,0.9734726971813529
1680,196,None,0.44594594594594594,0.9786252708756925
1690,199 212,None,0.45495495495495497,0.9958447578933646
1700,None,None,0.45495495495495497,0.9878734626961021
1710,50 198,None,0.46396396396396394,0.9820400493126846
1720,65 171,None,0.47297297297297297,0.9960249318151191
1730,None,None,0.47297297297297297,1.002419562067338
1740,74 210,None,0.481981981981982,0.9955591497156738
1750,None,None,0.481981981981982,1.0352635410570752
1760,140,None,0.4864864864864865,1.0289781313942004
1770,88,None,0.49099099099099097,0.9897065561817511
1780,None,None,0.49099099099099097,1.0088879099262318
1790,None,None,0.49099099099099097,1.011032188119177
1800,None,None,0.49099099099099097,1.0083641917355308
1810,None,None,0.49099099099099097,1.0127428742573685
1820,169,None,0.4954954954954955,1.0014866798353645
1830,None,None,0.4954954954954955,1.019632946979861
1840,None,None,0.4954954954954955,1.0116112039254868
1850,None,None,0.4954954954954955,1.0230714887649528
1860,122,None,0.5,1.0134347463927502
1870,61 78 110,None,0.5135135135135135,1.0375834896351408
1880,None,None,0.5135135135135135,1.0467009717798434
1890,168,None,0.5180180180180181,1.0315738406920048
1900,None,None,0.5180180180180181,1.046733243533474
1910,None,None,0.5180180180180181,1.056252283530666
1920,213,None,0.5225225225225225,1.0447069259199029
1930,132,None,0.527027027027027,1.043670060444168
1940,57,None,0.5315315315315315,1.0652677002662294
1950,155,None,0.536036036036036,1.0525552426135476
1960,None,None,0.536036036036036,1.0531655579424548
1970,None,None,0.536036036036036,1.0521024463344666
1980,None,None,0.536036036036036,1.0435168967979482
1990,160,None,0.5405405405405406,1.0574171761453162
